,Age,W,Pace,ORB%,Tm,3P%,FT%,TOV,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
120,25.4,24,98.3,21.1,ATL,3.487,8.135,15.400000000000002,109.7,5.561,3.5930000000000004,2.5669999999999997,95.3,166.30000000000004,16.900000000000002,15.299999999999995,2018.0
121,24.7,55,96.0,21.5,BOS,3.4890000000000003,7.567000000000001,14.1,114.8,5.464,3.675,2.435,103.8,141.5,14.4,16.8,2018.0
122,25.1,28,98.9,21.0,BRK,3.4730000000000003,7.755000000000001,15.1,112.8,5.599,4.008000000000001,2.644,99.7,157.9,12.4,15.9,2018.0
123,24.4,27,98.3,20.6,CHI,3.0810000000000004,7.5,13.900000000000002,101.9,5.309,3.024,2.3150000000000004,101.1,149.0,14.8,13.8,2018.0
124,26.6,36,98.4,22.2,CHO,3.017,7.799000000000001,12.500000000000002,108.6,5.391,3.374,2.9360000000000004,91.0,144.10000000000005,14.6,14.8,2018.0
125,30.6,50,98.0,20.1,CLE,3.394,7.5219999999999985,13.2,107.4,5.8610000000000015,4.058,2.6210000000000004,101.4,138.49999999999997,13.9,11.9,2018.0
126,27.7,24,95.6,18.0,DAL,3.198,7.692,12.2,106.5,5.649000000000001,3.6460000000000004,2.5200000000000005,98.0,159.20000000000005,14.7,19.0,2018.0
127,25.1,46,96.8,25.7,DEN,3.29,7.455999999999999,16.0,122.7,5.645,3.322,2.74,107.6,154.8,15.1,18.8,2018.0
128,25.9,39,96.2,22.7,DET,3.3710000000000004,7.773,13.3,116.3,5.4780000000000015,3.9260000000000006,2.072,83.0,143.1,16.1,10.7,2018.0
129,28.8,58,99.6,21.0,GSW,2.855,8.066,15.8,118.8,5.789,3.2039999999999997,2.338,96.1,178.79999999999995,17.3,20.5,2018.0
130,29.8,65,97.6,21.3,HOU,2.9639999999999995,7.6610000000000005,14.8,134.10000000000002,5.902,4.9510000000000005,2.742,102.0,138.70000000000002,17.3,16.0,2018.0
131,26.2,48,96.0,22.7,IND,3.29,7.6720000000000015,13.9,113.9,5.5360000000000005,2.6189999999999998,2.172,104.2,137.5,17.6,17.4,2018.0
132,27.0,42,98.7,23.5,LAC,2.898,7.233,16.299999999999994,125.6,5.642,3.12,2.9250000000000003,101.4,146.7,15.2,15.8,2018.0
133,23.7,35,100.3,23.6,LAL,3.167,6.845,16.3,119.6,5.508000000000001,3.165,2.6990000000000003,103.1,140.59999999999997,17.2,15.5,2018.0
134,26.0,22,94.9,22.4,MEM,3.0930000000000004,7.8610000000000015,14.7,103.0,5.464,3.0300000000000007,2.659,101.9,141.9,15.000000000000002,18.9,2018.0
135,26.5,44,95.6,21.5,MIA,3.88,7.593,15.599999999999998,118.4,5.5440000000000005,3.386,2.4640000000000004,108.0,148.8,15.4,19.3,2018.0
136,25.9,44,96.2,20.4,MIL,3.3269999999999995,7.887,14.3,118.2,5.575,3.515,2.29,94.1,131.3,18.6,19.8,2018.0
137,27.1,47,96.0,24.4,MIN,3.2869999999999995,8.033000000000001,12.599999999999998,119.5,5.565,2.677,2.637,97.29999999999998,133.10000000000002,17.3,13.9,2018.0
138,27.6,48,100.5,20.0,NOP,3.5410000000000004,7.369,17.400000000000002,133.0,5.609999999999999,4.065,1.883,95.7,160.9,15.499999999999998,16.7,2018.0
139,26.3,29,96.8,24.1,NYK,3.147,8.074,14.2,111.3,5.4479999999999995,2.647,2.134,105.7,130.4,12.3,20.5,2018.0
140,27.3,48,96.7,27.7,OKC,2.9739999999999998,6.711999999999999,14.000000000000002,108.60000000000002,5.4099999999999975,3.97,2.492,99.2,122.1,17.3,21.0,2018.0
141,25.6,25,98.1,20.0,ORL,3.0370000000000004,7.5550000000000015,15.6,114.9,5.472,2.9569999999999994,2.57,95.4,173.4,16.400000000000002,15.2,2018.0
142,25.8,52,99.8,25.3,PHI,3.072,7.602,16.7,114.1,5.6510000000000025,3.3910000000000005,2.465,105.2,160.20000000000005,15.6,18.1,2018.0
143,23.7,21,100.3,22.5,PHO,2.9130000000000003,7.428,15.2,106.7,5.4860000000000015,3.471,2.9760000000000004,102.8,122.49999999999996,12.9,16.5,2018.0
144,25.6,49,96.5,23.3,POR,2.898,7.673999999999999,13.5,110.4,5.460999999999999,3.319,2.252,103.1,116.9,14.4,18.899999999999995,2018.0
145,26.4,27,94.9,21.5,SAC,3.233,7.364000000000001,14.199999999999998,105.0,5.3820000000000014,2.6870000000000003,1.948,100.1,137.10000000000002,15.9,15.6,2018.0
146,29.3,47,95.0,23.7,SAS,3.394,7.768,12.3,101.0,5.454,3.405,2.326,101.5,138.2,16.099999999999998,20.5,2018.0
