,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
202,0.375,0.66,42.5,20.0,6.8,4.2,17.7,94.2,ORL,27.5,37.0,-0.33,89.0,0.34600000000000003,0.5329999999999999,14.5,26.5,0.193,0.488,12.9,75.5,0.19,2011-12
203,0.366,0.6920000000000001,43.2,20.0,6.7,4.7,20.0,99.2,ORL,27.6,52.0,-0.54,91.2,0.328,0.5539999999999999,14.3,26.1,0.227,0.475,13.3,76.9,0.219,2010-11
204,0.362,0.752,45.5,25.9,8.2,5.4,20.6,109.6,PHI,26.4,39.0,0.01,98.8,0.36,0.562,12.7,23.7,0.189,0.522,12.7,80.4,0.211,2019-20
205,0.359,0.7709999999999999,47.8,26.9,7.4,5.3,21.3,115.2,PHI,26.4,51.0,-0.44,101.6,0.342,0.574,12.9,24.5,0.241,0.512,11.1,78.6,0.206,2018-19
206,0.369,0.752,47.4,27.1,8.3,5.1,22.1,109.8,PHI,25.8,52.0,-0.2,99.8,0.344,0.568,14.6,25.3,0.198,0.4920000000000001,12.6,78.6,0.218,2017-18
207,0.34,0.7709999999999999,42.8,23.8,8.4,5.1,21.9,102.4,PHI,24.6,28.0,-0.14,98.5,0.349,0.539,14.9,22.4,0.199,0.512,13.5,75.3,0.234,2016-17
208,0.339,0.6940000000000001,41.2,21.5,8.3,6.0,21.7,97.4,PHI,23.3,10.0,0.31,97.9,0.327,0.519,14.8,20.6,0.18600000000000005,0.51,13.5,74.0,0.24,2015-16
209,0.32,0.6759999999999999,42.9,20.5,9.6,5.9,21.7,92.0,PHI,23.2,18.0,-0.07,95.7,0.319,0.494,16.0,25.5,0.195,0.4970000000000001,15.2,73.0,0.225,2014-15
210,0.312,0.71,42.7,21.8,9.3,4.0,22.5,99.5,PHI,23.4,19.0,-0.21,99.2,0.258,0.51,14.8,24.8,0.19,0.524,14.9,72.4,0.244,2013-14
211,0.36,0.7290000000000001,41.3,22.8,7.4,4.7,18.4,93.2,PHI,25.2,34.0,-0.17,91.0,0.209,0.509,12.5,24.9,0.146,0.495,13.7,73.4,0.2,2012-13
212,0.362,0.742,43.2,22.0,8.0,5.2,17.5,93.6,PHI,24.9,35.0,-0.65,89.7,0.175,0.511,10.9,24.4,0.161,0.46,13.5,75.2,0.192,2011-12
